packet_nb_orig,packet_nb_resp,tcp_flag_A,tcp_flag_F,tcp_flag_P,tcp_flag_R,tcp_flag_S,tcp_flag_U,a_l3_payload_size_orig_total,a_l3_payload_size_resp_total,a_l3_payload_size_orig_min,a_l3_payload_size_orig_max,label
12,9,1,1,1,1,1,0,2129,2679,44,1430,CobaltStrike
11,11,1,1,1,1,1,0,2416,2857,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2468,2877,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2260,2696,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2139,2679,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2118,2679,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2145,2679,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2139,2679,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2484,2877,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2141,2679,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2474,2877,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2146,2679,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2132,2679,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2132,2679,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2140,2679,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2127,2679,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2141,2679,44,1430,CobaltStrike
10,9,1,1,1,0,1,0,2102,2679,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2480,2877,44,1430,CobaltStrike
145,54,1,0,1,1,1,0,3002,394469,110,110,CobaltStrike
12,9,1,1,1,1,1,0,2140,2679,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2449,2877,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2468,2877,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2143,2679,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2440,2877,44,1430,CobaltStrike
145,45,1,0,1,1,1,0,3002,394265,110,110,CobaltStrike
12,9,1,1,1,1,1,0,2146,2679,44,1430,CobaltStrike
11,12,1,1,1,0,1,0,2420,2877,44,1430,CobaltStrike
6921,739,1,1,1,0,1,0,138522,19244685,110,110,CobaltStrike
12,9,1,1,1,1,1,0,2128,2679,44,1430,CobaltStrike
15,11,1,1,1,1,1,0,4844,4416,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2163,2679,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2615,2696,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2139,2679,44,1430,CobaltStrike
10,8,1,1,1,1,1,0,2101,2659,44,1430,CobaltStrike
14,14,1,1,1,1,1,0,2800,3055,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2132,2679,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2134,2679,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2146,2679,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2139,2679,44,1430,CobaltStrike
14,14,1,1,1,1,1,0,2819,3055,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2124,2679,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2125,2679,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2144,2679,44,1430,CobaltStrike
10,9,1,1,1,0,1,0,2109,2679,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2136,2679,44,1430,CobaltStrike
11,12,1,1,1,0,1,0,2437,2877,44,1430,CobaltStrike
