packet_nb_orig,packet_nb_resp,tcp_flag_A,tcp_flag_F,tcp_flag_P,tcp_flag_R,tcp_flag_S,tcp_flag_U,a_l3_payload_size_orig_total,a_l3_payload_size_resp_total,a_l3_payload_size_orig_min,a_l3_payload_size_orig_max,label
5,5,1,1,1,0,1,0,583,1569,491,491,CobaltStrike
10,8,1,1,0,0,1,0,218,244,21,21,CobaltStrike
6861,1333,1,1,1,0,1,0,137750,19258499,526,526,CobaltStrike
10,8,1,1,0,0,1,0,218,244,21,21,CobaltStrike
12,9,1,1,1,1,1,0,2567,3067,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2670,2876,44,1430,CobaltStrike
11,8,1,1,1,1,1,0,2611,2675,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2695,2876,44,1430,CobaltStrike
10,8,1,1,1,1,1,0,2233,2658,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2275,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2203,2678,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2666,2876,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2198,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2190,2678,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2980,3258,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2669,2695,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2276,2678,44,1430,CobaltStrike
11,12,1,1,1,0,1,0,2532,2876,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2270,2678,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2656,2876,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2196,2678,44,1430,CobaltStrike
11,12,1,1,1,0,1,0,2650,2876,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2240,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2194,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2232,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2188,2678,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2625,2876,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2262,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2266,2678,44,1430,CobaltStrike
14,13,1,1,1,1,1,0,2693,3810,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2555,3061,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2233,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2703,2695,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2693,2876,44,1430,CobaltStrike
10,8,1,1,1,1,1,0,2188,2658,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2231,2678,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2662,2876,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2660,2876,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2237,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2271,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2196,2678,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2667,2876,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2189,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2269,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2264,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2192,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2264,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2235,2678,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2589,2876,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2627,2876,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2279,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2191,2678,44,1430,CobaltStrike
10,8,1,1,1,1,1,0,2228,2658,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2226,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2195,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2268,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2199,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2194,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2269,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2278,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2226,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2271,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2266,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2234,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2229,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2200,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2269,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2274,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2234,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2226,2678,44,1430,CobaltStrike
10,9,1,1,1,0,1,0,2151,2678,44,1430,CobaltStrike
14,14,1,1,1,1,1,0,3094,3054,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2229,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2224,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2230,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2195,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2193,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2202,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2262,2678,44,1430,CobaltStrike
15,11,1,1,1,1,1,0,4915,4443,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2186,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2668,2695,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2200,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2267,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2198,2678,44,1430,CobaltStrike
15,16,1,1,1,1,1,0,3487,3232,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2194,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2188,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2276,2678,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2691,2876,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2267,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2261,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2264,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2262,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2190,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2232,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2230,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2231,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2228,2678,44,1430,CobaltStrike
13,12,1,1,1,1,1,0,2703,2876,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2230,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2274,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2196,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2273,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2259,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2272,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2191,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2271,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2192,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2265,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2205,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2269,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2231,2678,44,1430,CobaltStrike
12,9,1,1,1,1,1,0,2231,2678,44,1430,CobaltStrike
