start_time,src_ip,src_port,dst_ip,dst_port,ip_protocol,history,conn_state,tcp_flags,packet_nb,packet_nb_orig,packet_nb_resp,a_l3_payload_size_orig_total,a_l3_payload_size_resp_total,a_l3_payload_size_orig_min,a_l3_payload_size_orig_max,duration,label
1777862303.4628372,172.16.0.5,60416,192.178.155.95,443,6,Dd,OTH,FPA,16196,5532,10664,136050,14917003,218,224,1616.755489,benign
1777862310.1385639,172.16.0.5,60417,23.215.0.199,443,6,ShDd,RSTO,SFRPAEC,294,119,175,7846,224769,51,1404,19.901636,benign
1777862310.1390698,172.16.0.5,60418,4.153.29.52,443,6,ShDd,RSTR,SFRPAEC,24,13,11,3815,1901,21,1460,154.964806,benign
1777862310.1393769,172.16.0.5,60419,150.171.28.11,443,6,ShDd,SF,SFPAEC,54,27,27,5173,7468,58,1460,19.858228,benign
1777862310.141544,172.16.0.5,60420,23.48.203.113,443,6,ShDd,SF,SFPAEC,32,16,16,2206,9169,100,1404,14.387127,benign
1777862310.1531887,172.16.0.5,60421,13.107.246.40,443,6,ShDd,RSTO,SFRPAEC,21,13,8,4323,1483,21,1460,139.859454,benign
1777862310.2824755,172.16.0.5,56490,23.48.203.113,443,17,Dd,OTH,,53,26,27,3562,8311,37,1258,19.708162,benign
1777862310.3404932,172.16.0.5,60422,13.107.213.40,443,6,ShDd,RSTO,SFRPAEC,21,13,8,4557,639,21,1460,139.672153,benign
1777862310.341782,172.16.0.5,60423,150.171.27.10,443,6,ShDd,RSTR,SFRPAEC,48,19,29,4664,10702,94,1460,19.659886,benign
1777862310.3475113,172.16.0.5,53482,23.48.203.106,443,17,Dd,OTH,,1245,429,816,39986,755395,38,1258,19.643391,benign
1777862310.3481479,172.16.0.5,60424,23.3.75.144,443,6,ShDd,RSTO,SFRPAEC,151,65,86,7198,82363,51,1404,19.649339,benign
1777862310.3485758,172.16.0.5,60425,23.3.75.144,443,6,ShDd,RSTO,SFRPAEC,91,41,50,5611,39517,51,1404,19.65031,benign
1777862310.3519268,172.16.0.5,53048,2.18.67.139,443,17,Dd,OTH,,1990,568,1422,33951,1619739,39,1258,19.638368,benign
1777862310.3525946,172.16.0.5,60426,99.84.160.115,443,6,ShDd,SF,SFPAEC,35,19,16,4857,8165,51,1460,19.650295,benign
1777862310.3535004,172.16.0.5,54891,23.218.218.153,443,17,Dd,OTH,,199,82,117,8191,54492,38,1258,19.636452,benign
1777862310.354432,172.16.0.5,60427,150.171.28.12,443,6,ShDd,RSTR,SFRPAEC,46,19,27,4487,9410,94,1460,19.647463,benign
1777862310.6874163,172.16.0.5,60428,20.50.73.10,443,6,ShDd,RSTO,SFRPAEC,419,252,167,280207,14615,94,1460,19.38523,benign
1777862311.3248913,172.16.0.5,60429,204.79.197.203,443,6,ShDd,SF,SFPAEC,57,24,33,5233,10080,51,1460,18.673058,benign
1777862311.7237577,172.16.0.5,60430,23.12.147.37,443,6,ShDd,SF,SFPAEC,31,16,15,2300,9117,100,1404,12.804769,benign
1777862311.7243853,172.16.0.5,60431,23.12.147.37,443,6,ShDd,SF,SFPAEC,31,16,15,2236,9119,100,1404,12.804438,benign
1777862311.7250495,172.16.0.5,60432,150.171.28.10,443,6,ShDd,RSTR,SFRPAEC,47,23,24,4782,7486,94,1460,18.277055,benign
1777862311.7254574,172.16.0.5,60433,150.171.28.10,443,6,ShDd,RSTR,SFRPAEC,36,14,22,2664,7133,94,1430,18.276965,benign
1777862312.0417385,172.16.0.5,60434,20.50.73.10,443,6,ShDd,RSTO,SFRPAEC,14,8,6,3363,779,443,1430,2.552137,benign
1777862312.047066,172.16.0.5,60435,20.50.73.10,443,6,ShDd,RSTO,SFRPAEC,14,8,6,3075,779,347,1430,2.54181,benign
1777862312.1732774,172.16.0.5,60436,204.79.197.203,443,6,ShDd,SF,SFPAEC,313,144,169,51117,53739,29,1430,17.82451,benign
1777862313.055307,172.16.0.5,60437,20.50.73.10,443,6,ShDd,RSTO,SFRPAEC,14,8,6,3075,779,347,1430,2.548824,benign
1777862315.0000339,162.159.61.3,443,172.16.0.5,63067,17,Dd,OTH,,26,14,12,7214,4564,31,1208,14.996186,benign
1777862315.0018396,172.16.0.5,60438,162.159.61.3,443,6,ShDd,SF,SFPAEC,26,15,11,4022,4326,84,1472,15.000461,benign
1777862315.0034409,162.159.61.3,443,172.16.0.5,60510,17,Dd,OTH,,55,28,27,13275,7513,31,1208,14.986178,benign
1777862315.0061038,162.159.61.3,443,172.16.0.5,57818,17,Dd,OTH,,26,14,12,7213,4566,31,1208,14.968534,benign
1777862315.010023,172.16.0.5,60439,162.159.61.3,443,6,ShDd,SF,SFPAEC,22,13,9,2215,4252,84,1430,14.970452,benign
1777862319.1891897,172.16.0.5,60440,23.218.218.142,443,6,ShDd,RSTO,SFRPAEC,4997,1905,3092,47453,4381498,100,1404,0.391425,benign
1777862319.571952,172.16.0.5,60441,23.218.218.142,443,6,ShDd,RSTO,SFRPAEC,764,310,454,10655,625533,100,1404,4.984898,benign
1777862324.5393882,172.16.0.5,60442,23.218.218.142,443,6,ShDd,RSTO,SFRPAEC,9052,3470,5582,85172,7926089,100,1404,5.327085,benign
1777862680.9251382,172.16.0.5,60443,52.123.128.14,443,6,ShDd,RSTR,SRPAEC,58,29,29,3465,11122,94,812,72.543127,benign
1777862701.6889846,172.16.0.5,60444,104.208.16.90,443,6,ShDd,RSTO,SFRPAEC,40,20,20,4303,5249,58,1189,2.862464,benign
1777862753.8461282,172.16.0.5,60446,52.123.128.14,443,6,ShDd,RSTR,SRPAEC,52,26,26,2756,10171,94,812,68.782433,benign
1777863054.768065,172.16.0.5,60448,52.123.128.14,443,6,ShDd,RSTR,SRPAEC,52,26,26,2756,10171,94,812,64.866414,benign
1777863159.2144651,172.16.0.5,60449,4.247.188.224,443,6,ShDd,SF,SFPAEC,34,17,17,2787,4862,51,1213,6.858236,benign
1777863355.8013513,172.16.0.5,60450,52.123.128.14,443,6,ShDd,RSTR,SRPAEC,52,26,26,2756,10169,94,812,63.942568,benign
1777863656.6926754,172.16.0.5,60451,52.123.128.14,443,6,ShDd,RSTR,SRPAEC,50,25,25,2916,10355,94,812,67.976795,benign
1777863949.2408452,172.16.0.5,60452,142.251.111.95,443,6,ShDd,SF,SFPAEC,35042,11936,23106,294803,32416992,218,602,3611.98751,benign
