start_time,src_ip,src_port,dst_ip,dst_port,ip_protocol,history,conn_state,tcp_flags,packet_nb,packet_nb_orig,packet_nb_resp,a_l3_payload_size_orig_total,a_l3_payload_size_resp_total,a_l3_payload_size_orig_min,a_l3_payload_size_orig_max,duration,label
1776805789.669133,172.16.0.13,8443,172.16.0.5,54642,6,Dd,RSTR,FRPA,9,4,5,242,124,44,158,0.003002,malicious
1776805789.671594,172.16.0.5,54643,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2129,2679,44,1430,1.492915,malicious
1776805791.165166,172.16.0.5,54644,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,22,11,11,2416,2857,44,1430,4.776658,malicious
1776805795.942675,172.16.0.5,54645,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,25,13,12,2468,2877,44,1430,4.475611,malicious
1776805796.361076,172.16.0.5,54646,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2260,2696,44,1430,0.015287,malicious
1776805800.417931,172.16.0.5,54647,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2139,2679,44,1430,2.949798,malicious
1776805803.368454,172.16.0.5,54648,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2118,2679,44,1430,2.740466,malicious
1776805806.109591,172.16.0.5,54649,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2145,2679,44,1430,2.630578,malicious
1776805808.73891,172.16.0.5,54650,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2139,2679,44,1430,2.170561,malicious
1776805810.909122,172.16.0.5,54651,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,25,13,12,2484,2877,44,1430,5.035351,malicious
1776805815.943791,172.16.0.5,54652,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2141,2679,44,1430,2.654954,malicious
1776805818.599378,172.16.0.5,54653,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,25,13,12,2474,2877,44,1430,3.835729,malicious
1776805822.436202,172.16.0.5,54654,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2146,2679,44,1430,1.140307,malicious
1776805823.577165,172.16.0.5,54655,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2132,2679,44,1430,1.740102,malicious
1776805825.316809,172.16.0.5,54656,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2132,2679,44,1430,1.017549,malicious
1776805826.333779,172.16.0.5,54657,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2140,2679,44,1430,1.890853,malicious
1776805828.224059,172.16.0.5,54658,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2127,2679,44,1430,2.048124,malicious
1776805830.271508,172.16.0.5,54659,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2141,2679,44,1430,2.179587,malicious
1776805832.450587,172.16.0.5,54660,172.16.0.13,8443,6,ShDd,SF,SFPAEC,19,10,9,2102,2679,44,1430,1.992509,malicious
1776805834.444081,172.16.0.5,54661,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,25,13,12,2480,2877,44,1430,3.299949,malicious
1776805836.98051,172.16.0.5,54662,172.16.0.13,9999,6,ShDd,RSTO,SRPAEC,199,145,54,3002,394469,110,110,0.073349,malicious
1776805837.744544,172.16.0.5,54663,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2140,2679,44,1430,1.353092,malicious
1776805839.09843,172.16.0.5,54664,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,25,13,12,2449,2877,44,1430,4.444677,malicious
1776805843.543846,172.16.0.5,54665,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,25,13,12,2468,2877,44,1430,3.571153,malicious
1776805847.114127,172.16.0.5,54666,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2143,2679,44,1430,1.384717,malicious
1776805848.499431,172.16.0.5,54667,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,25,13,12,2440,2877,44,1430,5.103322,malicious
1776805849.169895,172.16.0.5,54668,172.16.0.13,9999,6,ShDd,RSTO,SRPAEC,190,145,45,3002,394265,110,110,0.067768,malicious
1776805853.603593,172.16.0.5,54669,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2146,2679,44,1430,2.190713,malicious
1776805855.794986,172.16.0.5,54670,172.16.0.13,8443,6,ShDd,SF,SFPAEC,23,11,12,2420,2877,44,1430,5.271676,malicious
1776805858.398371,172.16.0.5,54671,172.16.0.13,9999,6,ShDd,SF,SFPAEC,7660,6921,739,138522,19244685,110,110,0.942454,malicious
1776805861.0676,172.16.0.5,54672,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2128,2679,44,1430,2.680841,malicious
1776805862.462344,172.16.0.5,54673,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,26,15,11,4844,4416,44,1430,0.016361,malicious
1776805862.479403,172.16.0.5,54674,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2163,2679,44,1430,1.488955,malicious
1776805862.486167,172.16.0.5,137,172.16.255.255,137,17,D,OTH,,3,3,0,174,0,58,58,1.584887,malicious
1776805862.487862,172.16.0.5,54675,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2615,2696,44,1430,0.011491,malicious
1776805863.747835,172.16.0.5,54676,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2139,2679,44,1430,2.872606,malicious
1776805863.969367,172.16.0.5,54677,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,18,10,8,2101,2659,44,1430,1.411129,malicious
1776805865.381391,172.16.0.5,54678,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,28,14,14,2800,3055,44,1430,4.354225,malicious
1776805866.620102,172.16.0.5,54679,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2132,2679,44,1430,2.218146,malicious
1776805868.838945,172.16.0.5,54680,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2134,2679,44,1430,1.114001,malicious
1776805869.736513,172.16.0.5,54681,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2146,2679,44,1430,1.310036,malicious
1776805869.953562,172.16.0.5,54682,172.16.0.13,8443,6,ShDd,RSTO,SFRPAEC,21,12,9,2139,2679,44,1430,1.818623,malicious
