start_time,src_ip,src_port,dst_ip,dst_port,ip_protocol,history,conn_state,tcp_flags,packet_nb,packet_nb_orig,packet_nb_resp,a_l3_payload_size_orig_total,a_l3_payload_size_resp_total,a_l3_payload_size_orig_min,a_l3_payload_size_orig_max,duration,label
1776890173.323571,172.16.0.5,54846,172.16.0.13,9999,6,ShDd,SF,SFPAEC,10,5,5,668,216,576,576,0.039063,malicious
1776890173.340069,172.16.0.5,54847,172.16.0.13,9999,6,ShD,S1,SAEC,21,11,10,241,320,21,21,405.09566,malicious
1776890175.152075,172.16.0.5,54851,172.16.0.13,9999,6,ShD,S1,SAEC,21,11,10,241,320,21,21,405.096175,malicious
1776890214.622183,172.16.0.5,54858,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,28,14,14,3282,3404,44,1430,4.475964,malicious
1776890214.648681,172.16.0.5,137,172.16.255.255,137,17,D,OTH,,3,3,0,174,0,58,58,1.500499,malicious
1776890214.64985,172.16.0.5,54859,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2687,2695,44,1430,0.010404,malicious
1776890219.099108,172.16.0.5,54860,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2190,2678,44,1430,2.363935,malicious
1776890221.463839,172.16.0.5,54861,172.16.0.13,8444,6,ShDd,SF,SFPAEC,19,10,9,2193,2678,44,1430,1.592504,malicious
1776890223.057675,172.16.0.5,54862,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2188,2678,44,1430,2.573518,malicious
1776890225.630914,172.16.0.5,54863,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2268,2678,44,1430,1.46204,malicious
1776890227.093771,172.16.0.5,54864,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,18,10,8,2230,2658,44,1430,2.719647,malicious
1776890229.81385,172.16.0.5,54865,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2263,3041,44,1430,0.724401,malicious
1776890230.540491,172.16.0.5,54866,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2192,2678,44,1430,1.085126,malicious
1776890230.547365,172.16.0.5,54867,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2623,2695,44,1430,0.009802,malicious
1776890231.625285,172.16.0.5,54868,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,25,13,12,2658,2876,44,1430,3.41456,malicious
1776890235.039423,172.16.0.5,54869,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2194,2678,44,1430,1.715023,malicious
1776890236.755196,172.16.0.5,54870,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2262,2678,44,1430,2.730939,malicious
1776890239.486836,172.16.0.5,54871,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2238,2678,44,1430,1.423092,malicious
1776890240.910592,172.16.0.5,54872,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2195,2678,44,1430,1.203228,malicious
1776890242.114533,172.16.0.5,54873,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,25,13,12,2697,3143,44,1430,4.862828,malicious
1776890244.238381,172.16.0.5,54874,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,20,12,8,3414,2675,44,1430,0.012626,malicious
1776890246.976821,172.16.0.5,54875,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2270,2678,44,1430,2.126514,malicious
1776890249.102812,172.16.0.5,54876,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2234,2678,44,1430,1.113439,malicious
1776890250.216999,172.16.0.5,54877,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2196,2678,44,1430,1.546546,malicious
1776890251.762981,172.16.0.5,54878,172.16.0.13,8444,6,ShDd,SF,SFPAEC,25,12,13,2599,4877,44,1430,3.020571,malicious
1776890252.059713,172.16.0.5,54879,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2500,2695,44,1430,0.0119,malicious
1776890254.784621,172.16.0.5,54880,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2196,2678,44,1430,1.402988,malicious
1776890256.188347,172.16.0.5,54881,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2201,2678,44,1430,1.344594,malicious
1776890257.532724,172.16.0.5,54882,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2197,2678,44,1430,2.179881,malicious
1776890259.712211,172.16.0.5,54883,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2231,2678,44,1430,2.710523,malicious
1776890262.422327,172.16.0.5,54884,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,27,14,13,2714,5124,44,1430,2.738306,malicious
1776890262.761975,172.16.0.5,54885,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2395,2695,44,1430,0.009278,malicious
1776890265.161076,172.16.0.5,54886,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2234,2678,44,1430,1.923986,malicious
1776890267.084703,172.16.0.5,54887,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2223,2678,44,1430,1.387307,malicious
1776890268.471607,172.16.0.5,54888,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,25,13,12,2742,3362,44,1430,1.982825,malicious
1776890269.253977,172.16.0.5,54889,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,19,11,8,2819,2675,44,1430,0.008497,malicious
1776890270.454822,172.16.0.5,54890,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2228,2678,44,1430,2.606651,malicious
1776890273.060885,172.16.0.5,54891,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,25,12,13,3069,3326,44,1430,5.484797,malicious
1776890276.313804,172.16.0.5,54892,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,22,13,9,4228,2695,44,1430,0.016591,malicious
1776890278.54671,172.16.0.5,54893,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2269,2678,44,1430,1.838082,malicious
1776890280.384212,172.16.0.5,54894,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2232,2678,44,1430,2.939899,malicious
