start_time,src_ip,src_port,dst_ip,dst_port,ip_protocol,history,conn_state,tcp_flags,packet_nb,packet_nb_orig,packet_nb_resp,a_l3_payload_size_orig_total,a_l3_payload_size_resp_total,a_l3_payload_size_orig_min,a_l3_payload_size_orig_max,duration,label
1776893265.52136,172.16.0.5,56028,172.16.0.13,9999,6,ShDd,SF,SFPAEC,8133,6832,1301,137154,19256449,522,522,0.814736,malicious
1776893265.538211,172.16.0.5,56029,172.16.0.13,9999,6,ShDd,SF,SFPAEC,10,5,5,652,216,560,560,1.900818,malicious
1776893267.434914,172.16.0.5,56033,172.16.0.13,9999,6,ShD,S1,SAEC,13,7,6,157,192,21,21,225.04422,malicious
1776893314.929007,172.16.0.5,56037,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,19,11,8,2772,3151,44,1430,0.012411,malicious
1776893314.942402,172.16.0.5,56038,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2212,2678,44,1430,1.351685,malicious
1776893314.946942,172.16.0.5,137,172.16.255.255,137,17,D,OTH,,6,6,0,348,0,58,58,19.694956,malicious
1776893314.948075,172.16.0.5,56039,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,23,14,9,5736,2695,44,1430,0.009339,malicious
1776893316.294751,172.16.0.5,56040,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2209,2678,44,1430,1.520207,malicious
1776893317.814605,172.16.0.5,56041,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2213,2678,44,1430,1.427813,malicious
1776893319.242127,172.16.0.5,56042,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2244,2678,44,1430,1.865706,malicious
1776893321.107462,172.16.0.5,56043,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2210,2678,44,1430,1.626813,malicious
1776893322.733925,172.16.0.5,56044,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,25,13,12,2689,2876,44,1430,5.116297,malicious
1776893327.849213,172.16.0.5,56045,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2253,2678,44,1430,2.663188,malicious
1776893330.512048,172.16.0.5,56046,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2250,2678,44,1430,1.41918,malicious
1776893331.930766,172.16.0.5,56047,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,28,14,14,3099,3054,44,1430,4.945696,malicious
1776893333.097585,172.16.0.5,56048,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,26,15,11,4851,4485,44,1430,0.013344,malicious
1776893333.11145,172.16.0.5,56049,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2294,2678,44,1430,1.139778,malicious
1776893333.115916,172.16.0.5,56050,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,23,14,9,5841,2695,44,1430,0.00922,malicious
1776893334.251874,172.16.0.5,56051,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2250,2678,44,1430,2.488953,malicious
1776893336.740617,172.16.0.5,56052,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,19,11,8,2237,2658,44,1430,2.754999,malicious
1776893336.8758,172.16.0.5,56053,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2212,2678,44,1430,1.140342,malicious
1776893338.015743,172.16.0.5,56054,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2213,2678,44,1430,1.951842,malicious
1776893339.495423,172.16.0.5,56055,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,25,13,12,2659,2876,44,1430,3.99107,malicious
1776893339.96706,172.16.0.5,56056,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2278,2678,44,1430,2.066582,malicious
1776893342.033335,172.16.0.5,56057,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2294,2678,44,1430,2.081954,malicious
1776893343.485708,172.16.0.5,56058,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2257,2678,44,1430,2.708205,malicious
1776893344.114883,172.16.0.5,56059,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2291,2678,44,1430,2.919532,malicious
1776893346.193509,172.16.0.5,56060,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2216,2678,44,1430,1.602887,malicious
1776893347.034031,172.16.0.5,56061,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2286,2678,44,1430,2.203097,malicious
1776893347.79607,172.16.0.5,56062,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2268,2678,44,1430,1.6564,malicious
1776893349.236785,172.16.0.5,56063,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2302,2678,44,1430,1.142878,malicious
1776893349.453078,172.16.0.5,56064,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2294,2678,44,1430,2.483013,malicious
1776893350.379381,172.16.0.5,56065,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2209,2678,44,1430,2.094326,malicious
1776893351.936769,172.16.0.5,56066,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2294,2678,44,1430,1.204718,malicious
1776893352.473362,172.16.0.5,56067,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2251,2678,44,1430,2.4262,malicious
1776893353.14117,172.16.0.5,56068,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,18,10,8,2212,2658,44,1430,2.068533,malicious
1776893354.899219,172.16.0.5,56069,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2287,2678,44,1430,1.865746,malicious
1776893355.210566,172.16.0.5,56070,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2285,2678,44,1430,1.657918,malicious
1776893356.764545,172.16.0.5,56071,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,28,14,14,3137,3054,44,1430,5.323056,malicious
1776893356.868102,172.16.0.5,56072,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2257,2678,44,1430,1.887784,malicious
1776893358.755524,172.16.0.5,56073,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2304,2678,44,1430,2.289935,malicious
1776893361.045707,172.16.0.5,56074,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,25,13,12,2713,2876,44,1430,4.274513,malicious
1776893362.086855,172.16.0.5,56075,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2248,2678,44,1430,2.607427,malicious
1776893364.69398,172.16.0.5,56076,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2212,2678,44,1430,1.648966,malicious
1776893365.3199,172.16.0.5,56077,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2284,2678,44,1430,1.491415,malicious
1776893366.342611,172.16.0.5,56078,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2204,2678,44,1430,2.33919,malicious
1776893366.810694,172.16.0.5,56079,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2211,2678,44,1430,1.422103,malicious
1776893368.232447,172.16.0.5,56080,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2215,2678,44,1430,2.566241,malicious
1776893368.681448,172.16.0.5,56081,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2289,2678,44,1430,1.798247,malicious
1776893370.479328,172.16.0.5,56082,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,25,13,12,2658,2876,44,1430,4.034227,malicious
1776893370.798308,172.16.0.5,56083,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2293,2678,44,1430,2.423417,malicious
1776893373.221322,172.16.0.5,56084,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2251,2678,44,1430,2.65294,malicious
1776893374.512853,172.16.0.5,56085,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2288,2678,44,1430,2.337238,malicious
1776893375.873932,172.16.0.5,56086,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2252,2678,44,1430,1.751869,malicious
1776893376.849717,172.16.0.5,56087,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2205,2678,44,1430,1.026187,malicious
1776893377.626447,172.16.0.5,56088,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2255,2678,44,1430,2.708937,malicious
1776893377.876642,172.16.0.5,56089,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2212,2678,44,1430,1.244568,malicious
1776893379.12085,172.16.0.5,56090,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,25,13,12,2694,2876,44,1430,4.04231,malicious
1776893380.33488,172.16.0.5,56091,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,28,14,14,3146,3054,44,1430,6.63683,malicious
1776893383.162454,172.16.0.5,56092,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2211,2678,44,1430,2.128924,malicious
1776893385.290861,172.16.0.5,56093,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2286,2678,44,1430,2.100224,malicious
1776893386.971344,172.16.0.5,56094,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2297,2678,44,1430,2.435607,malicious
1776893387.390856,172.16.0.5,56095,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2207,2678,44,1430,2.394257,malicious
1776893389.406436,172.16.0.5,56096,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2221,2678,44,1430,1.601127,malicious
1776893389.784723,172.16.0.5,56097,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2207,2678,44,1430,2.536781,malicious
1776893391.007011,172.16.0.5,56098,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,25,13,12,2798,2876,44,1430,4.613666,malicious
1776893392.320303,172.16.0.5,56099,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2199,2678,44,1430,2.111799,malicious
1776893394.431681,172.16.0.5,56100,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2257,2678,44,1430,2.208209,malicious
1776893395.620134,172.16.0.5,56101,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2214,2678,44,1430,1.626544,malicious
1776893396.640505,172.16.0.5,56102,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2211,2678,44,1430,1.971634,malicious
1776893397.247413,172.16.0.5,56103,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2217,2678,44,1430,2.629303,malicious
1776893398.612553,172.16.0.5,56104,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2256,2678,44,1430,2.145873,malicious
1776893399.876186,172.16.0.5,56105,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2294,2678,44,1430,1.825375,malicious
1776893400.757842,172.16.0.5,56106,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2200,2678,44,1430,1.026961,malicious
1776893401.701143,172.16.0.5,56107,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2252,2678,44,1430,2.742727,malicious
1776893401.784434,172.16.0.5,56108,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2209,2678,44,1430,1.908833,malicious
1776893403.692824,172.16.0.5,56109,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2290,2678,44,1430,2.020988,malicious
1776893404.444498,172.16.0.5,56110,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2302,2678,44,1430,2.054158,malicious
1776893405.714594,172.16.0.5,56111,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2203,2678,44,1430,2.720603,malicious
1776893406.499332,172.16.0.5,56112,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2213,2678,44,1430,1.477402,malicious
1776893407.976319,172.16.0.5,56113,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2257,2678,44,1430,2.029691,malicious
1776893408.434859,172.16.0.5,56114,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2207,2678,44,1430,1.981944,malicious
1776893410.005825,172.16.0.5,56115,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2210,2678,44,1430,2.101741,malicious
1776893410.416524,172.16.0.5,56116,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2256,2678,44,1430,2.19642,malicious
1776893412.107178,172.16.0.5,56117,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2206,2678,44,1430,2.070789,malicious
1776893412.612691,172.16.0.5,56118,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2206,2678,44,1430,1.232204,malicious
1776893413.844313,172.16.0.5,56119,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2285,2678,44,1430,2.629609,malicious
1776893414.177592,172.16.0.5,56120,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,25,13,12,2747,2876,44,1430,4.506745,malicious
1776893416.4736,172.16.0.5,56121,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2288,2678,44,1430,1.195275,malicious
1776893417.66848,172.16.0.5,56122,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2284,2678,44,1430,1.346805,malicious
1776893418.68396,172.16.0.5,56123,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2300,2678,44,1430,2.338806,malicious
