packet_nb_orig,packet_nb_resp,tcp_flag_A,tcp_flag_F,tcp_flag_P,tcp_flag_R,tcp_flag_S,tcp_flag_U,a_l3_payload_size_orig_total,a_l3_payload_size_resp_total,a_l3_payload_size_orig_min,a_l3_payload_size_orig_max,label
5,4,1,1,1,1,1,0,637,229,20,537,benign
5,4,1,1,1,1,1,0,637,229,20,537,benign
9,7,1,1,1,0,1,0,819,289,20,537,benign
9,8,1,1,1,0,1,0,819,309,20,537,benign
8,8,1,1,1,0,1,0,779,309,20,537,benign
8,7,1,1,1,0,1,0,779,289,20,537,benign
9,7,1,1,1,0,1,0,819,289,20,537,benign
8,8,1,1,1,0,1,0,779,309,20,537,benign
13,12,1,1,1,0,1,0,990,6387,20,537,benign
21,19,1,1,1,0,1,0,1864,912,20,845,benign
157,166,1,1,1,0,1,0,7199,216001,20,1039,benign
6,5,1,1,1,1,1,0,657,249,20,537,benign
25,20,1,1,1,0,1,0,2896,2680,20,719,benign
28,23,1,1,1,0,1,0,3010,7422,20,907,benign
28,24,1,1,1,0,1,0,3044,7435,20,917,benign
30,25,1,1,1,0,1,0,3954,7941,20,917,benign
30,24,1,1,1,0,1,0,3989,7921,20,935,benign
5,4,1,1,1,1,1,0,637,229,20,537,benign
5,4,1,1,1,1,1,0,637,229,20,537,benign
5,4,1,1,1,1,1,0,637,229,20,537,benign
5,4,1,1,1,1,1,0,637,229,20,537,benign
34,28,1,1,1,0,1,0,5053,10062,20,872,benign
29,26,1,1,1,0,1,0,2612,8042,20,750,benign
8,8,1,1,1,0,1,0,779,309,20,537,benign
8,7,1,1,1,0,1,0,779,289,20,537,benign
13,10,1,1,1,0,1,0,1002,6134,20,537,benign
9,8,1,1,1,0,1,0,819,309,20,537,benign
13,11,1,1,1,0,1,0,978,6367,20,537,benign
8,7,1,1,1,0,1,0,779,289,20,537,benign
8,7,1,1,1,0,1,0,779,289,20,537,benign
8,7,1,1,1,0,1,0,779,289,20,537,benign
13,10,1,1,1,0,1,0,1002,6134,20,537,benign
31,27,1,1,1,1,1,0,5307,9337,20,1219,benign
9,7,1,1,1,0,1,0,819,289,20,537,benign
51,65,1,1,1,0,1,0,2692,76701,20,1025,benign
47,58,1,1,1,0,1,0,2652,66712,20,1033,benign
16,12,1,1,1,0,1,0,1887,6646,20,845,benign
37,27,1,1,1,0,1,0,9318,4949,20,935,benign
51,65,1,1,1,0,1,0,2736,76862,20,1033,benign
20,15,1,1,1,0,1,0,3633,1864,20,907,benign
39,27,1,1,1,0,1,0,10422,5442,20,1070,benign
171,106,1,1,1,0,1,0,179360,14008,20,1480,benign
37,26,1,1,1,0,1,0,9702,4972,20,1074,benign
359,365,1,1,1,0,1,0,15775,499133,20,1039,benign
37,29,1,1,1,0,1,0,7436,9289,20,1480,benign
54,37,1,1,1,0,1,0,15276,13759,20,872,benign
125,92,1,1,1,0,1,0,113560,14295,20,1480,benign
105,67,1,1,1,0,1,0,70378,16949,20,1480,benign
296,176,1,1,1,0,1,0,371074,15350,20,1480,benign
16,15,1,1,1,0,1,0,3341,7072,20,1480,benign
5,4,1,1,1,1,1,0,637,229,20,537,benign
5,4,1,1,1,1,1,0,637,229,20,537,benign
5,4,1,1,1,1,1,0,637,229,20,537,benign
5,4,1,1,1,1,1,0,637,229,20,537,benign
5,4,1,1,1,1,1,0,637,229,20,537,benign
9,8,1,0,1,1,1,0,777,6132,20,537,benign
6,5,1,1,1,1,1,0,657,249,20,537,benign
5,4,1,1,1,1,1,0,637,229,20,537,benign
31,24,1,1,1,0,1,0,5669,4919,20,814,benign
27,22,1,1,1,1,1,0,4016,7281,20,1227,benign
21,18,1,1,1,0,1,0,1864,892,20,845,benign
66,77,1,1,1,0,1,0,4024,74564,20,1034,benign
36,31,1,1,1,0,1,0,6613,3635,20,917,benign
32,28,1,1,1,0,1,0,4798,2596,20,935,benign
25,20,1,1,1,0,1,0,3667,2694,20,872,benign
247,250,1,1,1,0,1,0,13107,315149,20,1041,benign
25,20,1,1,1,0,1,0,3220,2694,20,723,benign
8,7,1,1,1,0,1,0,779,289,20,537,benign
26,22,1,1,1,0,1,0,2051,6846,20,845,benign
28,24,1,1,1,0,1,0,2680,7844,20,723,benign
161,169,1,1,1,0,1,0,7935,212330,20,1039,benign
11,9,1,1,1,1,1,0,907,6203,20,537,benign
9,8,1,1,1,1,1,0,717,6132,20,537,benign
9,8,1,1,1,1,1,0,717,6132,20,537,benign
9,8,1,1,1,1,1,0,717,6132,20,537,benign
9,8,1,1,1,1,1,0,717,6132,20,537,benign
9,8,1,1,1,1,1,0,717,6132,20,537,benign
30,24,1,1,1,0,1,0,4008,7964,20,917,benign
28,24,1,1,1,0,1,0,2853,7844,20,872,benign
80,63,1,1,1,0,1,0,17880,15377,20,1074,benign
42,36,1,1,1,0,1,0,4634,8774,20,1157,benign
101,113,1,1,1,0,1,0,4865,137014,20,1039,benign
30,28,1,1,1,0,1,0,4148,8037,20,1038,benign
49,67,1,1,1,0,1,0,2745,72678,20,1019,benign
32,28,1,1,1,0,1,0,4943,8530,20,917,benign
25,21,1,1,1,0,1,0,3220,2714,20,723,benign
25,20,1,1,1,0,1,0,3667,2694,20,872,benign
5,4,1,1,1,1,1,0,637,229,20,537,benign
5,4,1,1,1,1,1,0,637,229,20,537,benign
5,4,1,1,1,1,1,0,637,229,20,537,benign
5,4,1,1,1,1,1,0,637,229,20,537,benign
5,4,1,1,1,1,1,0,637,229,20,537,benign
