packet_nb_orig,packet_nb_resp,tcp_flag_A,tcp_flag_F,tcp_flag_P,tcp_flag_R,tcp_flag_S,tcp_flag_U,a_l3_payload_size_orig_total,a_l3_payload_size_resp_total,a_l3_payload_size_orig_min,a_l3_payload_size_orig_max,label
12,9,1,1,1,1,1,0,2268,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2229,2678,44,1430,malicious
13,12,1,1,1,1,1,0,2663,2876,44,1430,malicious
12,9,1,1,1,1,1,0,2588,3060,44,1430,malicious
12,9,1,1,1,1,1,0,2272,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2622,2695,44,1430,malicious
12,9,1,1,1,1,1,0,2266,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2229,2678,44,1430,malicious
11,12,1,1,1,0,1,0,2582,2876,44,1430,malicious
12,9,1,1,1,1,1,0,2269,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2232,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2193,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2194,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2269,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2222,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2269,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2195,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2280,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2261,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2229,2979,44,1430,malicious
12,9,1,1,1,1,1,0,2195,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2195,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2234,2678,44,1430,malicious
13,12,1,1,1,1,1,0,2665,2876,44,1430,malicious
12,9,1,1,1,1,1,0,2241,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2262,3122,44,1430,malicious
12,9,1,1,1,1,1,0,2261,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2724,2695,44,1430,malicious
12,9,1,1,1,1,1,0,2271,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2189,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2267,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2191,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2227,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2194,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2265,2678,44,1430,malicious
13,12,1,1,1,1,1,0,2698,3142,44,1430,malicious
13,9,1,1,1,1,1,0,3430,2695,44,1430,malicious
12,9,1,1,1,1,1,0,2230,2678,44,1430,malicious
13,12,1,1,1,1,1,0,2579,3314,44,1430,malicious
12,9,1,1,1,1,1,0,2345,2695,44,1430,malicious
12,9,1,1,1,1,1,0,2263,2678,44,1430,malicious
12,11,1,1,1,1,1,0,2643,2856,44,1430,malicious
12,9,1,1,1,1,1,0,2191,2678,44,1430,malicious
11,10,1,1,1,0,1,0,2249,4931,44,1430,malicious
12,9,1,1,1,1,1,0,2191,2678,44,1430,malicious
11,8,1,1,1,1,1,0,2476,2675,44,1430,malicious
14,14,1,1,1,1,1,0,3079,3417,44,1430,malicious
12,9,1,1,1,1,1,0,2610,2695,44,1430,malicious
12,9,1,1,1,1,1,0,2191,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2237,3041,44,1430,malicious
12,9,1,1,1,1,1,0,2222,2678,44,1430,malicious
13,9,1,1,1,1,1,0,4148,2695,44,1430,malicious
13,12,1,1,1,1,1,0,2625,2876,44,1430,malicious
12,9,1,1,1,1,1,0,2255,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2192,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2194,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2276,3174,44,1430,malicious
12,9,1,1,1,1,1,0,2265,2678,44,1430,malicious
12,8,1,1,1,1,1,0,3459,2675,44,1430,malicious
12,9,1,1,1,1,1,0,2189,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2271,2678,44,1430,malicious
14,14,1,1,1,1,1,0,3198,3417,44,1430,malicious
12,9,1,1,1,1,1,0,2199,2678,44,1430,malicious
20,10,1,1,1,1,1,0,13369,2715,44,1430,malicious
12,9,1,1,1,1,1,0,2262,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2271,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2271,2678,44,1430,malicious
11,8,1,1,1,1,1,0,2165,2658,44,1430,malicious
12,9,1,1,1,1,1,0,2269,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2196,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2270,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2188,3294,44,1430,malicious
12,9,1,1,1,1,1,0,2192,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2566,2695,44,1430,malicious
12,9,1,1,1,1,1,0,2263,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2233,2678,44,1430,malicious
15,16,1,1,1,1,1,0,3395,3846,44,1430,malicious
12,9,1,1,1,1,1,0,2401,2695,44,1430,malicious
12,9,1,1,1,1,1,0,2188,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2238,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2193,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2232,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2264,2678,44,1430,malicious
13,12,1,1,1,1,1,0,2650,2876,44,1430,malicious
12,9,1,1,1,1,1,0,2201,2678,44,1430,malicious
13,12,1,1,1,1,1,0,2653,3239,44,1430,malicious
12,9,1,1,1,1,1,0,2550,2695,44,1430,malicious
12,9,1,1,1,1,1,0,2271,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2223,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2199,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2232,2992,44,1430,malicious
12,9,1,1,1,1,1,0,2185,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2406,2695,44,1430,malicious
12,9,1,1,1,1,1,0,2190,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2191,2678,44,1430,malicious
13,10,1,1,1,1,1,0,2246,4999,44,1430,malicious
12,9,1,1,1,1,1,0,2267,2678,44,1430,malicious
11,8,1,1,1,1,1,0,2526,2675,44,1430,malicious
12,9,1,1,1,1,1,0,2224,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2226,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2183,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2198,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2231,2678,44,1430,malicious
13,12,1,1,1,1,1,0,2622,3177,44,1430,malicious
12,9,1,1,1,1,1,0,2816,2695,44,1430,malicious
13,12,1,1,1,1,1,0,2694,2876,44,1430,malicious
12,9,1,1,1,1,1,0,2196,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2234,2678,44,1430,malicious
11,11,1,1,1,1,1,0,2578,3219,44,1430,malicious
13,9,1,1,1,1,1,0,3366,2695,44,1430,malicious
12,9,1,1,1,1,1,0,2198,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2227,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2262,2678,44,1430,malicious
13,12,1,1,1,1,1,0,2586,3168,44,1430,malicious
12,9,1,1,1,1,1,0,2647,2695,44,1430,malicious
11,11,1,1,1,1,1,0,2609,3198,44,1430,malicious
13,9,1,1,1,1,1,0,4310,2695,44,1430,malicious
10,8,1,1,1,1,1,0,2147,2658,44,1430,malicious
12,9,1,1,1,1,1,0,2270,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2229,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2233,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2266,3041,44,1430,malicious
12,9,1,1,1,1,1,0,2236,2678,44,1430,malicious
13,9,1,1,1,1,1,0,3443,2695,44,1430,malicious
12,9,1,1,1,1,1,0,2186,2678,44,1430,malicious
12,9,1,1,1,1,1,0,2275,2678,44,1430,malicious
13,12,1,1,1,1,1,0,2656,3239,44,1430,malicious
13,9,1,1,1,1,1,0,3868,2695,44,1430,malicious
12,9,1,1,1,1,1,0,2231,2678,44,1430,malicious
